p,init_intersection,end_intersection,time_departure,num_steps,co,gas,distance,a,b,T,avg_v(mph),active,last_time_simulated,path_length_cpu,path_length_gpu
0,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
1,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
2,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
3,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
4,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
5,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
6,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
7,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
8,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
9,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
10,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
11,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
12,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
13,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
14,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
15,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
16,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
17,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
18,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
19,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
20,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
21,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
22,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
23,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
24,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
25,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
26,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
27,302878,302888,35571.5,106.5,31.6248,303.222,2529.56,0.557041,2.90206,0.543303,46.3991,2,35677.5,4,4
28,302878,302888,35570.5,105.5,31.8691,308.039,2529.56,0.557041,2.90206,0.543303,46.731,2,35675.5,4,4
