osmid,x,y,ref,highway
281266,-122.3025783,37.5601845,414B,motorway_junction
302878,-122.059974,37.348484,,
302883,-122.0597495,37.3376866,19A,motorway_junction
302888,-122.0516164,37.3277785,,
15972513,-121.8930094,36.9751755,433B,motorway_junction
15972517,-121.9068985,36.9760806,,
25457926,-121.5559232,36.9990984,356,motorway_junction
25457938,-121.5539128,37.0078681,,traffic_signals
25457946,-121.5583964,37.0075508,,
25457976,-121.9014733,37.3641683,,
26027653,-122.1087882,37.407877,,
26027655,-122.1098717,37.4071756,,
26027656,-122.1136055,37.401376,,traffic_signals
26027659,-122.1034649,37.4162847,,traffic_signals
26027669,-122.1014619,37.4238046,,
26027671,-122.1015999,37.4218629,,traffic_signals
26027688,-122.0177816,37.3559053,,traffic_signals
26027690,-122.0140663,37.3531613,,traffic_signals
26027965,-122.013768,37.3666158,,
26027977,-122.0129908,37.3830944,,
26028038,-122.068844,37.3878941,,
26028045,-122.068688,37.3954356,23,motorway_junction
26028051,-122.0699731,37.4046501,,
26028101,-122.015142,37.3962722,,
26028102,-122.0280362,37.3990915,,motorway_junction
26028106,-122.0565203,37.4055796,,
26028109,-122.0681996,37.4081826,399A,motorway_junction
26028114,-122.0924674,37.4211269,400B,motorway_junction
26028129,-122.1770085,37.4817473,406,motorway_junction
26028133,-122.181374,37.4836887,,
26028708,-122.108901,37.4087796,,
26028723,-122.0221413,37.3820592,,motorway_junction
26028729,-122.0154986,37.378997,,motorway_junction
26028750,-122.0368475,37.3691443,,traffic_signals
26028751,-122.0342112,37.3769802,,
26028753,-122.0332639,37.3803557,,
26028756,-122.0303453,37.3900939,,
26028757,-122.0276196,37.3992543,,
26029008,-122.1021537,37.4194468,,traffic_signals
26029013,-122.101962,37.4204077,,
26029018,-122.1019928,37.4211497,,
26029085,-122.0456184,37.3863605,,
26029097,-122.0781725,37.4144948,,
26029613,-122.0653972,37.377428,,
26029615,-122.0598179,37.3751528,,
26029622,-122.036912,37.3689916,,traffic_signals
26029629,-122.0179121,37.3558065,,traffic_signals
26029630,-122.0140679,37.3529671,,traffic_signals
26029632,-122.0122361,37.3523544,,
26029634,-122.0672801,37.3781143,,
26029635,-122.0683584,37.3785107,,
26029664,-122.0675473,37.3780824,22B,motorway_junction
26029671,-122.0311957,37.3841716,,
26029674,-122.0443537,37.3870143,,
26029675,-122.0451271,37.3869806,,
26029682,-122.0623967,37.3894618,,
