SAMPN,PERNO,origin,destination
1033944,1,65335448,65303721
1035274,2,65512687,295120796
1041304,1,65432016,65500241
1041494,4,2452123264,57889082
1041766,1,65392530,65368988
1041766,2,65392530,2448231984
1043613,1,53090692,53081393
1043613,2,53090692,3219753122
1044414,1,416770563,2567291436
1045607,1,53089178,4761684642
1045672,1,57839070,53143662
1045672,2,57839070,57849161
1045672,3,57839070,57937753
1047092,2,53077815,3695530253
1048852,1,3854409263,52980624
1049908,1,65334137,1723738893
1050385,2,65514345,522277389
1050821,1,53139700,53086921
1051203,1,295811049,65418216
1051388,2,65298349,65303529
1051795,1,65294011,65352454
1052905,1,65643098,2793858275
1055449,2,56026643,56062258
1059184,1,53035871,577629966
1059184,2,53035871,53149856
1059276,1,110388339,110402355
1060749,1,65651935,65388013
1064494,1,306534075,65679594
1064494,2,306534075,53114990
1064644,1,65398805,65292745
1064644,2,65398805,1087030010
1065239,3,53086826,275761239
1065904,2,110392803,65303525
1065929,1,53098112,53037525
1065929,2,53098112,62459528
1066541,1,53055302,3969135918
1066541,2,53055302,347423727
1067722,2,57896671,57927021
1067977,2,62410101,62247683
1069723,1,65301529,65329980
1087526,1,65318641,1723739123
1088146,1,57879810,53096146
1088852,1,57899080,348063634
1088852,2,57899080,57907140
1089378,1,53121408,53089752
1093539,1,65351063,65293462
1093539,2,65351063,65338206
1094328,2,65496235,65407594
1095358,1,53050944,239496878
1095531,1,65318100,65657840
1095531,2,65318100,65303525
1096422,1,56026196,56114910
1096422,2,56026196,56137145
1096693,1,65462818,614141010
1098726,2,65492882,189787084
1119016,1,65622145,65550325
1119016,2,65622145,65550325
1119035,1,55957753,55960389
1119137,1,65299741,262936146
1119181,2,56073727,56150126
1119577,1,295083423,65306800
1119607,1,65303620,65352339
1120071,1,614140926,1438935056
1120220,2,1563110114,65295275
1120364,1,65435458,65466159
1120441,2,65510004,3581401217
1120451,1,65506368,256568778
1120451,2,65506368,65613239
1120491,1,65433873,65401373
1120697,1,65608766,1071749777
1120697,2,65608766,65377756
1120849,1,65554241,65484159
1120849,2,65554241,3608334997
1121291,1,3040276490,62472133
1121448,2,62459978,470163529
1121608,1,65527944,65465841
