trip_id,block_id,direction_id,shape_id,route_id,route_short_name,departure_time,bus_stop_osmid,routing
8617345_merged_8859463 ,a_101    ,0,167662,14287,1                ,15840,"[65295383, 65295388, 65295399, 65295411, 65295420, 65295434, 65295435, 65295438, 65295444, 65280072, 65295452, 65295458, 65295471, 65295480, 65295485, 65295489, 65295496, 65295499, 65307165, 258910948, 258910949]","154782,461879,154786,154792,154795,154798,154801,154803,154806,154810,154813,154817,154818,154822,151684,154828,151638,154833,154836,154842,154844,154847,154853,150593,154858,383154,154859,154862,154867,154872,21005,154874,154878,154884,154887,154893,154896,19776,154898,154903,153724,154908,154912,154916,154920,154923,159023,159025,401484"
8617552_merged_8848393 ,a_101    ,1,167664,14287,1                ,16920,"[258910949, 65333130, 65307165, 65295499, 65295496, 65295489, 65295485, 65295480, 65295471, 65295458, 65295450, 65280072, 65295444, 65295438, 65295435, 65295434, 65295420, 65295411, 65295399, 65295388, 65295383, 65295377, 4019294259, 65295367, 65307443, 65307440, 65307438, 65292743, 173176449, 5283675522, 173176455, 65337003, 65337001, 65327171, 65336999, 65336993, 65336987, 65336976, 65336974, 65326726, 65332833, 65336961, 65336956, 65336953, 65305827, 65336947, 65327408, 65324593]","401485,167044,159027,159021,154925,154921,154917,154913,154909,153723,154904,154899,19777,154897,154891,154888,154885,154879,154875,21006,154873,154868,154863,154860,383155,154855,150594,154854,154848,154846,154841,154837,154831,151639,154829,151685,154823,154821,154816,154814,154809,154807,154804,154802,154799,154794,154789,154788,461880,154784,154781,154777,154773,35833,154769,154762,159200,159196,159192,159188,153532,37721,400640,37727,47040,168103,168100,119752,165466,168099,168096,168093,168089,168087,167571,165354,166954,547162,168084,168081,165947,168077,168072,158474,168070,167849,165544,168067"
8617308_merged_8872951 ,a_102    ,0,167662,14287,1                ,17580,"[65295383, 65295388, 65295399, 65295411, 65295420, 65295434, 65295435, 65295438, 65295444, 65280072, 65295452, 65295458, 65295471, 65295480, 65295485, 65295489, 65295496, 65295499, 65307165, 258910948, 258910949]","154782,461879,154786,154792,154795,154798,154801,154803,154806,154810,154813,154817,154818,154822,151684,154828,151638,154833,154836,154842,154844,154847,154853,150593,154858,383154,154859,154862,154867,154872,21005,154874,154878,154884,154887,154893,154896,19776,154898,154903,153724,154908,154912,154916,154920,154923,159023,159025,401484"
8617307_merged_8872954 ,a_103    ,0,167662,14287,1                ,18660,"[65295383, 65295388, 65295399, 65295411, 65295420, 65295434, 65295435, 65295438, 65295444, 65280072, 65295452, 65295458, 65295471, 65295480, 65295485, 65295489, 65295496, 65295499, 65307165, 258910948, 258910949]","154782,461879,154786,154792,154795,154798,154801,154803,154806,154810,154813,154817,154818,154822,151684,154828,151638,154833,154836,154842,154844,154847,154853,150593,154858,383154,154859,154862,154867,154872,21005,154874,154878,154884,154887,154893,154896,19776,154898,154903,153724,154908,154912,154916,154920,154923,159023,159025,401484"
8617551_merged_8848394 ,a_102    ,1,167664,14287,1                ,18660,"[258910949, 65333130, 65307165, 65295499, 65295496, 65295489, 65295485, 65295480, 65295471, 65295458, 65295450, 65280072, 65295444, 65295438, 65295435, 65295434, 65295420, 65295411, 65295399, 65295388, 65295383, 65295377, 4019294259, 65295367, 65307443, 65307440, 65307438, 65292743, 173176449, 5283675522, 173176455, 65337003, 65337001, 65327171, 65336999, 65336993, 65336987, 65336976, 65336974, 65326726, 65332833, 65336961, 65336956, 65336953, 65305827, 65336947, 65327408, 65324593]","401485,167044,159027,159021,154925,154921,154917,154913,154909,153723,154904,154899,19777,154897,154891,154888,154885,154879,154875,21006,154873,154868,154863,154860,383155,154855,150594,154854,154848,154846,154841,154837,154831,151639,154829,151685,154823,154821,154816,154814,154809,154807,154804,154802,154799,154794,154789,154788,461880,154784,154781,154777,154773,35833,154769,154762,159200,159196,159192,159188,153532,37721,400640,37727,47040,168103,168100,119752,165466,168099,168096,168093,168089,168087,167571,165354,166954,547162,168084,168081,165947,168077,168072,158474,168070,167849,165544,168067"
8617306_merged_8872953 ,a_104    ,0,167662,14287,1                ,19380,"[65295383, 65295388, 65295399, 65295411, 65295420, 65295434, 65295435, 65295438, 65295444, 65280072, 65295452, 65295458, 65295471, 65295480, 65295485, 65295489, 65295496, 65295499, 65307165, 258910948, 258910949]","154782,461879,154786,154792,154795,154798,154801,154803,154806,154810,154813,154817,154818,154822,151684,154828,151638,154833,154836,154842,154844,154847,154853,150593,154858,383154,154859,154862,154867,154872,21005,154874,154878,154884,154887,154893,154896,19776,154898,154903,153724,154908,154912,154916,154920,154923,159023,159025,401484"
8617496_merged_8862511 ,a_101    ,0,167661,14287,1                ,19500,"[65324593, 65307352, 65307356, 65307359, 65305819, 65307363, 65307366, 65307376, 65307381, 65306087, 65307399, 65307404, 65307408, 65307412, 65307414, 258758544, 65307419, 173176455, 5283675522, 173176449, 65292743, 65307438, 65307440, 65295364, 65295367, 4019294259, 65295377, 65295383, 65295388, 65295399, 65295411, 65295420, 65295434, 65295435, 65295438, 65295444, 65280072, 65295452, 65295458, 65295471, 65295480, 65295485, 65295489, 65295496, 65295499, 65307165, 258910948, 258910949]","164708,543511,224631,159140,159142,159144,159146,158471,159149,159151,159153,159156,547161,159158,159160,158552,159163,159168,159171,159174,159176,159180,119754,159181,159183,37728,400639,37720,153531,159187,159191,159194,154758,154764,154768,35835,154772,154776,154780,154782,461879,154786,154792,154795,154798,154801,154803,154806,154810,154813,154817,154818,154822,151684,154828,151638,154833,154836,154842,154844,154847,154853,150593,154858,383154,154859,154862,154867,154872,21005,154874,154878,154884,154887,154893,154896,19776,154898,154903,153724,154908,154912,154916,154920,154923,159023,159025,401484"
8617550_merged_8848395 ,a_103    ,1,167664,14287,1                ,19740,"[258910949, 65333130, 65307165, 65295499, 65295496, 65295489, 65295485, 65295480, 65295471, 65295458, 65295450, 65280072, 65295444, 65295438, 65295435, 65295434, 65295420, 65295411, 65295399, 65295388, 65295383, 65295377, 4019294259, 65295367, 65307443, 65307440, 65307438, 65292743, 173176449, 5283675522, 173176455, 65337003, 65337001, 65327171, 65336999, 65336993, 65336987, 65336976, 65336974, 65326726, 65332833, 65336961, 65336956, 65336953, 65305827, 65336947, 65327408, 65324593]","401485,167044,159027,159021,154925,154921,154917,154913,154909,153723,154904,154899,19777,154897,154891,154888,154885,154879,154875,21006,154873,154868,154863,154860,383155,154855,150594,154854,154848,154846,154841,154837,154831,151639,154829,151685,154823,154821,154816,154814,154809,154807,154804,154802,154799,154794,154789,154788,461880,154784,154781,154777,154773,35833,154769,154762,159200,159196,159192,159188,153532,37721,400640,37727,47040,168103,168100,119752,165466,168099,168096,168093,168089,168087,167571,165354,166954,547162,168084,168081,165947,168077,168072,158474,168070,167849,165544,168067"
8617305_merged_8872956 ,a_105    ,0,167662,14287,1                ,19920,"[65295383, 65295388, 65295399, 65295411, 65295420, 65295434, 65295435, 65295438, 65295444, 65280072, 65295452, 65295458, 65295471, 65295480, 65295485, 65295489, 65295496, 65295499, 65307165, 258910948, 258910949]","154782,461879,154786,154792,154795,154798,154801,154803,154806,154810,154813,154817,154818,154822,151684,154828,151638,154833,154836,154842,154844,154847,154853,150593,154858,383154,154859,154862,154867,154872,21005,154874,154878,154884,154887,154893,154896,19776,154898,154903,153724,154908,154912,154916,154920,154923,159023,159025,401484"
8617304_merged_8872955 ,a_106    ,0,167662,14287,1                ,20460,"[65295383, 65295388, 65295399, 65295411, 65295420, 65295434, 65295435, 65295438, 65295444, 65280072, 65295452, 65295458, 65295471, 65295480, 65295485, 65295489, 65295496, 65295499, 65307165, 258910948, 258910949]","154782,461879,154786,154792,154795,154798,154801,154803,154806,154810,154813,154817,154818,154822,151684,154828,151638,154833,154836,154842,154844,154847,154853,150593,154858,383154,154859,154862,154867,154872,21005,154874,154878,154884,154887,154893,154896,19776,154898,154903,153724,154908,154912,154916,154920,154923,159023,159025,401484"
