,SAMPN,PERNO,origin_osmid,destination_osmid,dep_time,origin,destination
0,4721,1,4019009287,65295287,36555.8,211662,88718
1,7934,1,65307354,65352417,33181.4,90072,93737
2,13623,1,1723768769,65352417,31361.4,192084,93737
3,16875,1,65307354,65295281,28975.4,90072,88717
4,17028,1,1723739266,65336474,27926.8,192080,92666
5,17970,1,65352415,65295287,35169.5,93736,88718
6,37318,1,65307354,65352417,32185.6,90072,93737
7,55209,1,65327403,65319908,34631.7,92007,91350
8,55368,1,65307354,65305817,32795.4,90072,89859
9,55800,1,65307354,65295287,27263.4,90072,88718
10,83572,1,1723738831,65305819,30400.7,192053,89860
11,100828,1,65295275,65336474,26861.1,88714,92666
12,101376,1,65327403,65295287,23137.3,92007,88718
13,126623,1,65327403,65295287,30882.6,92007,88718
14,150938,1,65295275,65305819,27569.6,88714,89860
15,156342,1,65295275,65352417,33512.0,88714,93737
16,178171,1,317122247,65305817,32087.1,167813,89859
17,186714,1,65295278,65295287,30613.5,88715,88718
18,256516,1,65307354,65319908,31580.5,90072,91350
19,332052,1,317122247,65336474,29207.1,167813,92666
20,2017686,1,1723738831,65336474,35055.5,192053,92666
21,2101090,1,65352415,65352417,32858.4,93736,93737
22,2151311,1,1723739266,65295287,30526.2,192080,88718
23,2156663,1,1723768769,65295279,25231.0,192084,88716
24,2157012,1,1723768799,65305819,26763.4,192085,89860
25,2194339,1,4019009287,65319911,31625.7,211662,91351
26,2221599,1,4019009287,65319908,32846.2,211662,91350
27,2346664,1,65295275,65319908,28740.5,88714,91350
28,3347932,1,1723738831,65305819,30680.3,192053,89860
29,3763,1,65327403,1723739123,25952.5,92007,192069
30,6656,1,1723738831,1723739121,25729.0,192053,192068
31,15906,1,65295278,1723739244,28038.0,88715,192078
