uniqueid,u,v,length,lanes,speed_mph
0,309330024,253297204,320.8,5,65
1,247385811,3401339837,304.9,3,30
2,247385811,65553953,363.6,2,35
3,247385811,65580841,409.6,2,35
4,247385811,4148256398,748.8,1,35
5,247385814,247385699,103.0,1,20
6,4353687911,4353687912,9.9,1,25
7,4353687911,4353689485,408.6,2,30
8,4353687912,4353687911,9.9,1,25
9,4353687912,65314953,304.1,2,30
10,386924997,4906347242,34.4,2,30
11,386924997,386925477,88.7,2,30
12,386924997,1700584688,437.9,1,50
13,354419176,354413173,2532.1,3,65
14,1760559652,665690523,376.9,3,65
15,258998915,65670297,621.3,1,50
16,258998915,258999024,681.6,3,65
17,258999024,65399706,506.9,2,50
18,258999024,1760559652,565.7,3,65
19,5280220587,627243664,12.2,3,35
20,5280220587,2321976814,539.9,3,35
21,258999067,1080024953,44.3,1,30
22,258999067,313093778,12.9,1,30
23,258999067,1760559768,26.6,3,30
24,3196060452,3196064552,57.5,2,35
25,3196060452,2393342139,46.3,1,25
26,3196060454,5278977208,18.8,1,20
27,3196060454,3196060452,57.7,2,35
28,4993566561,4993566530,38.1,2,20
29,4993566561,4993566562,9.8,2,35
30,4993566562,57888211,10.7,2,20
31,4993566562,346696780,1750.9,2,35
32,386925477,65402815,121.7,2,30
33,386925477,386924997,88.7,2,30
34,386925477,1700584707,476.0,1,50
35,275776613,370473665,47.5,1,30
36,275776613,275782462,42.4,2,25
37,275776613,53117382,131.1,2,25
38,4447012098,4382597056,17.4,3,35
39,4447012098,3110365113,411.9,3,35
40,275776856,370473679,49.2,1,30
41,275776856,2820169753,169.4,2,25
42,275776856,53090185,60.0,2,25
43,4180674087,65424257,38.2,2,40
44,4180674087,65424250,527.2,2,40
45,65647490,2452350585,31.5,1,20
46,65647490,2452350577,47.6,1,20
47,65647490,2452350579,42.1,2,35
48,65647490,2452350586,43.9,2,35
49,4887414373,4887414381,72.1,1,45
50,4887414373,282813291,39.8,4,35
51,4887414381,665538270,608.0,4,45
52,4976543474,4976543480,108.0,1,20
53,4976543480,3371166887,124.5,1,20
