uniqueid,u,v,length,lanes,speed_mph
0,309330024,253297204,320.8,5,65
1,4353687911,4353687912,9.9,1,25
2,4353687911,4353689485,408.6,2,30
3,4353687912,4353687911,9.9,1,25
4,4353687912,65314953,304.1,2,30
5,386924997,4906347242,34.4,2,30
6,386924997,386925477,88.7,2,30
7,386924997,1700584688,437.9,1,50
8,1760559652,665690523,376.9,3,65
9,258998915,65670297,621.3,1,50
10,258998915,258999024,681.6,3,65
11,258999024,65399706,506.9,2,50
12,258999024,1760559652,565.7,3,65
13,258999067,1080024953,44.3,1,30
14,258999067,313093778,12.9,1,30
15,258999067,1760559768,26.6,3,30
16,386925477,65402815,121.7,2,30
17,386925477,386924997,88.7,2,30
18,386925477,1700584707,476.0,1,50
19,275776613,370473665,47.5,1,30
20,275776613,275782462,42.4,2,25
21,275776613,53117382,131.1,2,25
22,4447012098,4382597056,17.4,3,35
23,4447012098,3110365113,411.9,3,35
24,275776856,370473679,49.2,1,30
25,275776856,2820169753,169.4,2,25
26,275776856,53090185,60.0,2,25
27,4180674087,65424257,38.2,2,40
28,4180674087,65424250,527.2,2,40
29,4887414370,282813359,394.8,3,35
30,4887414373,4887414381,72.1,1,45
31,4887414373,282813291,39.8,4,35
32,4887414381,665538270,608.0,4,45
33,4353689485,3921509240,9.7,1,25
34,4353689485,4353692273,188.7,2,30
35,5896144842,53034922,7.2,3,25
36,5896144842,52978700,488.4,2,20
37,5896144843,5896144842,20.2,2,20
38,5896144843,5321280796,103.8,2,20
39,5896144843,53034926,147.3,4,25
40,275777736,56063320,13.1,3,25
41,275777736,95323746,137.8,3,30
42,275777737,275777736,11.5,3,30
43,275777737,240469594,431.2,3,25
44,905972023,905968140,41.5,3,20
45,905972023,65497888,893.8,1,20
46,309332588,26029630,16.9,3,40
47,309332588,287231485,89.0,3,25
48,4180675195,65452480,186.1,1,25
49,4180675195,4180674087,71.4,1,30
50,4180675195,65424257,50.7,1,25
51,2701134475,2701101990,366.7,1,20
52,2701134475,2701101990,157.2,1,20
53,2701134475,65506180,146.3,1,20
54,259001133,259001278,19.6,1,50
55,259001133,248212008,821.0,2,50
56,259001278,1101343695,12.0,3,30
57,259001354,311730001,495.4,2,50
58,259001354,309052216,907.7,3,65
59,655363147,65528532,97.5,1,20
60,655363148,252005218,535.7,1,20
61,655363148,1119583442,612.4,1,20
62,655363148,65624502,261.0,1,20
