osmid,x,y,ref,highway
309330024,-122.3543825,37.5874468,,
4353687911,-122.4454249,37.7315189,,
4353687912,-122.4454242,37.7316082,,
386924997,-121.5569967,37.0028644,,
1760559652,-121.8726147,37.2932404,,
258998915,-121.8783388,37.3034168,3B,motorway_junction
258999024,-121.8745834,37.2980811,3A,motorway_junction
258999067,-121.8725666,37.2951221,,
386925477,-121.5560587,37.0031378,,
275776613,-122.2696202,37.8544681,,
4447012098,-121.8879295,37.7101604,,
275776856,-122.2684162,37.8550439,,
4180674087,-122.0014153,37.3804926,,
4887414370,-121.969153,37.3524475,,
4887414373,-121.9680282,37.3524514,,
4887414381,-121.9684751,37.352932,,
4353689485,-122.4407787,37.7315409,,
5896144842,-122.0737318,37.6925785,,
5896144843,-122.0739587,37.692608,,
275777736,-122.2717504,37.8471072,,
275777737,-122.271789,37.8472058,,
905972023,-122.4062795,37.6556184,,
309332588,-122.014224,37.3530544,,traffic_signals
4180675195,-122.0008684,37.3809342,,
2701134475,-121.8825042,37.3121601,,
259001133,-121.8587843,37.2567088,,traffic_signals
259001278,-121.8590011,37.2566731,,traffic_signals
259001354,-121.8645378,37.2553794,5A,motorway_junction
655363147,-121.9153992,37.4066192,,turning_circle
655363148,-121.9103903,37.4058451,,
259001466,-121.8666064,37.2554955,5B,motorway_junction
259001484,-121.8638272,37.2556865,,
1806699751,-122.0867466,37.6581687,,
1806699759,-122.0842061,37.6628128,,
1806699762,-122.0839874,37.6632,,
1806699765,-122.0815017,37.6677425,,traffic_signals
1806699766,-122.0809364,37.6688485,,
461376765,-122.39676,37.6147327,,
575671703,-122.0865302,37.6943415,,
575671713,-122.0880633,37.701202,,
575671727,-122.1222118,37.709479,,traffic_signals
575671769,-122.1047338,37.714908,,
575671795,-122.0925251,37.7099491,,traffic_signals
575671796,-122.0930618,37.7102598,,
4162850297,-121.9242373,37.4154536,,
575671816,-122.099088,37.7133978,,
275779238,-122.2669877,37.8591933,,
1202720464,-122.2815191,37.5653724,,
905973480,-122.4059854,37.6551973,,traffic_signals
5484056508,-121.9035018,37.6942772,,
5484056509,-121.9037496,37.694276,,
256905264,-122.2132383,37.4887198,,
275779890,-122.2671377,37.8595236,,traffic_signals
