SAMPN,PERNO,orig,dest
1033944,1,2899908787,65303732
1035274,2,280021936,2219949394
1041304,1,65429743,65488782
1041766,1,297165027,4018939473
1041766,2,297165027,65400186
1043613,1,53126442,603229515
1045607,1,1212611065,65290336
1047092,2,53118744,3685177534
1049908,1,65303696,65335256
1050385,2,567010692,522277378
1050821,1,1332083041,53086921
1051203,1,65283764,65437109
1051388,2,260494517,65335256
1051795,1,65288277,65303696
1052905,1,4177285132,26029776
1059184,1,53039832,5687877080
1059184,2,53039832,1090428102
1060749,1,65634180,65454218
1064494,1,65462243,65544562
1064494,2,65462243,4590428846
1064644,1,65450527,65295355
1064644,2,65450527,293845810
1065239,3,33154458,679035926
1065929,1,683790351,53030266
1066541,1,295570836,52983425
1069723,1,4018939473,65335256
1087526,1,4021550367,260193612
1089378,1,826956804,257389219
1093539,1,1511349597,259394878
1093539,2,1511349597,65358843
1094328,2,30677889,415282972
1095358,1,248744988,239482340
1095531,1,65312014,65480019
1095531,2,65312014,1723739241
1096693,1,65447824,1741155872
1098726,2,65575670,65480019
1119016,1,463052554,289662376
1119016,2,463052554,289662376
1119137,1,258972759,65402769
1119577,1,65324849,65317060
1119607,1,65307677,65283764
1120071,1,2487368779,65447824
1120220,2,1563110139,260193612
1120364,1,65539441,5368971863
1120441,2,65389090,32817450
1120451,1,463052554,5852624901
1120451,2,463052554,65596389
1120491,1,484173364,1351842285
1120697,1,65494863,1071749777
1120697,2,65494863,651296334
1120849,1,65526851,65560182
1120849,2,65526851,65518445
1121608,1,431693918,1082987320
1121694,1,65545741,65511253
1121752,2,65432685,293561978
1121851,2,65436738,5367061446
1121901,2,239617025,53080628
1122037,2,429406277,65459869
1122229,1,65523117,65480019
1122248,1,65319944,262078981
1123025,1,65461932,65473412
1123025,2,65461932,65473412
1123587,2,220226963,282817724
1123731,3,65399936,744465732
1124271,2,65457732,65335256
1124293,1,5659997072,661994355
1124293,2,5659997072,240446447
1124585,1,1816506869,260543571
1124647,1,65580838,686323045
1125257,2,65436551,65307677
1125309,2,52982604,1614214651
1125399,1,282390537,65447921
1125450,1,65388057,287825433
1125492,1,65494863,65454218
1125492,2,65494863,65525709
1125585,1,65571540,65437109
1125585,2,65571540,1071874143
1126100,1,4019294259,65477194
1126853,1,65402731,704784837
1127004,1,65427892,343269965
1127004,2,65427892,65497027
1127272,1,65451313,65422888
1127481,2,1316750701,65461932
1127492,1,65475205,65659874
1127626,2,415168298,65317060
1127931,1,1723739241,1723739241
1128182,1,65519915,65518203
1128323,1,636067408,198447514
1128323,2,636067408,1082987320
1128323,3,636067408,65303732
1128531,1,2487368779,1723739241
1128740,2,65575736,689471609
1128764,1,4018939473,65290336
1128764,2,4018939473,65290336
1129102,4,1229920629,65295355
1129417,1,65584347,1107071976
1129578,1,263145971,65303696
1129697,2,65452105,3876218384
1129722,1,65642761,666133161
1129862,2,1111269526,65545173
1129862,3,1111269526,600231868
1129862,4,1111269526,65475119
1130038,1,65324849,65479774
1130487,1,65392810,65352339
1130487,2,65392810,65459876
1130807,1,65648090,1102852014
1131130,1,281266,260193612
1131130,2,281266,65479774
1131240,1,65410502,65467216
1131268,1,242858269,241263363
1131308,2,1676035598,5042859957
1131349,3,65317406,1723739241
1131385,1,847440278,256999242
1131396,1,65402631,365455267
1132059,2,4454452791,53046698
1132139,2,65289443,3685177534
1132372,1,65597983,246574411
1132372,2,65597983,65557518
1132467,1,260321647,1157512953
1133036,1,65408395,286082304
1133036,2,65408395,258288198
1133314,1,65580838,282817724
1133315,1,1401973679,312963135
1133315,2,1401973679,65496789
1133591,1,4520218050,65317060
1133591,2,4520218050,65606775
1134076,2,65308495,259138847
1134135,1,5659997072,65441639
1134135,2,5659997072,264179586
1134174,1,65560182,1082915100
1134742,1,369933261,1071749777
1134742,2,369933261,65452932
1135146,3,65399829,256998747
1135438,2,65575670,3766059022
1135563,1,559389852,65473412
1135836,1,65286844,282409368
1135920,1,53098022,65556603
1136069,2,286082304,65308495
1136853,1,65288277,258757618
1136853,2,65288277,258757618
1137219,1,2089641167,65335256
1137871,1,65508965,275763327
1137871,2,65508965,65459883
1137895,1,65391592,4592922291
1137895,2,65391592,3695622044
1137895,3,65391592,65547646
1138790,1,65461271,686323045
1138881,1,65396652,65312657
1139507,2,65451973,648530371
1139514,1,65319944,65303732
1140514,1,4069129336,65352339
1140514,2,4069129336,65308300
1140624,1,65455789,65362975
1140624,2,65455789,1480825902
1140657,1,636067408,65286986
1140657,3,636067408,661994355
1141305,1,262263365,65335256
1141570,1,286082304,65437109
1141856,1,65469637,65473529
1141857,1,65393966,564721352
1141857,2,65393966,1272258299
1142789,1,65622485,276867060
1143181,1,65579010,26028109
1143233,1,65321468,65437109
1143233,2,65321468,259138847
1143255,1,53099294,53116966
1143740,1,65284110,65317060
1144231,1,65523741,65459883
1144231,2,65523741,65523733
1144667,1,65328181,65358626
1144667,2,65328181,65335256
1144765,2,65433860,5368971863
1145194,1,5010014322,564721352
1145194,2,5010014322,65303696
1145199,1,259138847,1723739241
1145353,1,65575670,65629482
1145588,1,858085131,65402631
1145956,1,65501665,65441395
1146944,1,5852624901,65388057
1147026,2,447928265,65461932
1147026,3,447928265,256892784
1147026,7,447928265,256892784
1147205,1,65303696,65303696
1147295,2,65461271,258390819
1147622,1,65303696,65317406
1147762,2,65405507,65480019
1148075,1,65339793,65358626
1148828,1,306534189,65572998
1148828,2,306534189,65462243
1148949,1,770925774,65402696
1149029,1,65584897,65401911
1149029,2,65584897,353139733
1149029,3,65584897,65627848
1149157,1,53024858,53030266
1150189,1,1656918422,65283764
1150210,2,65308495,260193612
1150277,1,65441639,65469461
1150476,1,601720947,65317060
1150476,2,601720947,257882618
1150549,1,65424655,65518445
1150549,2,65424655,1624755431
1150634,2,272282623,911844740
1151150,1,2757547869,251911885
1151272,1,5213447908,65459869
1151272,3,5213447908,65537498
1151379,1,1272258299,415282972
1151426,1,5010014322,53032784
1151647,1,65402828,65402631
1151647,2,65402828,911844740
1151828,1,293561978,1507295335
1152068,2,65324849,65286435
1152068,3,65324849,271855226
1152114,1,65684084,26028109
1152114,3,65684084,312963135
1152641,1,65519363,65432986
1152715,3,52990846,53024858
1153453,1,447948414,282409368
1153748,1,65352339,65319944
1154339,1,5456770506,65473412
1155038,1,53073843,5042654772
1155258,1,415168298,256893623
1155258,2,415168298,53086771
1155425,1,53105657,4177142433
1155425,3,53105657,3756351503
1155425,4,53105657,53087004
1155655,2,310970403,282817724
1155655,3,310970403,65469146
1155812,1,5397531617,65421113
1156034,2,1099202977,1086419254
1156709,1,65328414,65466010
1156821,1,65565335,313250501
1157437,1,65520773,65536474
1157763,1,1614214651,5042859957
1158061,1,541325359,65403076
1159028,2,258401697,258390819
1160198,1,858085131,1020987541
1160198,3,858085131,297163585
1160945,2,413768951,704784837
1161045,1,4176672593,121128186
1161045,2,4176672593,251911885
1161987,1,4000200250,5042859957
1161987,2,4000200250,725452545
1162119,2,3560113812,760124013
1162119,3,3560113812,3560113812
1162138,1,65307677,4018939473
1162138,2,65307677,65358626
1162368,1,306534189,313250501
1162368,2,306534189,4176749651
1162676,1,2886229159,2886229159
1162676,2,2886229159,292477014
1162704,1,5659997072,65493935
1162757,2,65500480,65388057
1162811,1,4176758065,65575670
1162811,2,4176758065,260543592
1162978,1,271855226,271855226
1163181,1,4065351176,206691786
1163181,2,4065351176,65529747
1163879,1,678295796,53099362
1163961,1,53067254,53085099
1163961,2,53067254,53005951
1164027,1,3678132214,343269965
1164087,1,65388057,3766059022
1164384,1,65577750,3277280273
1164386,2,4593190581,287825433
1164386,3,4593190581,1020987541
1164665,1,65622485,264179586
1164885,1,4805063603,4592922291
1164929,4,4556191452,65575670
1165077,1,3466032313,65556603
1165077,2,3466032313,1351842285
1165521,1,297163585,1723739241
1165648,1,53073843,53030266
1165648,2,53073843,53030266
1165783,1,65618257,26028109
1165783,2,65618257,522277378
1165940,1,65327574,260193612
1166231,1,65328414,65312014
1166231,2,65328414,1404116292
1166590,2,434338966,65333972
1167681,2,65308495,65335256
1167932,1,53099294,32972213
1167932,2,53099294,65321354
1168404,1,65510475,36692493
1168404,3,65510475,65562385
1168404,4,65510475,721570683
1168404,5,65510475,1113440220
1168673,1,683790351,53085382
1168673,2,683790351,678295796
1169010,2,65544562,65462243
1169017,1,65441278,564721352
1169017,2,65441278,65303696
1169021,1,65393013,65303696
1169021,2,65393013,65495714
1169219,1,65308495,1723739241
1169372,1,65440499,847440278
1169372,2,65440499,52982204
1169464,1,331115420,258392730
1169464,3,331115420,734829598
1170324,2,65295355,65303732
1170408,1,1107072424,431954135
1170729,1,666133161,26028109
1171111,1,1086419254,4454452790
1171111,2,1086419254,3695622044
1171301,1,65403319,53043708
1171301,2,65403319,207640173
1171428,1,1088577001,344752198
1171428,4,1088577001,65557518
1171838,1,1097542300,65454218
1172272,1,65441639,911844740
1172515,1,65530826,317530722
1172515,2,65530826,3394771782
1172515,3,65530826,65419441
1172515,4,65530826,65419441
1172515,5,65530826,65583548
1172814,1,4018939473,65335256
1172814,3,4018939473,65321468
1172814,4,4018939473,293818036
1172818,1,53109504,5010014322
1172835,1,65333972,65321354
1173654,1,53126442,53030266
1173654,2,53126442,53055616
1173657,1,65473529,53087004
1173852,1,4778066278,1082987312
1174756,1,65352339,1657073180
1175115,1,53118744,1723739241
1175159,1,53077197,53012596
1175159,2,53077197,65441639
1175219,1,53118744,53030266
1175304,1,275763327,65321354
1175304,2,275763327,65308300
1175309,1,53108461,275763327
1175416,1,1316750701,259169359
1175416,2,1316750701,53067914
1175484,2,612071280,256999242
1176070,1,2230191613,65529747
1176456,1,53087004,1684106756
1176852,1,433970526,53094468
1176923,2,766206329,312683311
1176951,2,53032022,721673623
1177174,1,257360302,256893623
1177229,1,53127673,879989954
1177229,2,53127673,522277378
1177496,2,53028751,4454452790
1177563,1,401433632,34006175
1177600,2,658940648,65317060
1177831,1,53067254,53043708
1177923,1,52998310,53118961
1177977,1,242864569,65567250
1177977,2,242864569,53036418
1178232,1,4178697025,725452545
1178232,2,4178697025,247138149
1178232,3,4178697025,1683572090
1178633,1,53072748,52981368
1178677,2,53109504,260193612
1179163,1,53131081,53080628
1179400,1,53047924,65284110
1179400,2,53047924,65335256
1179431,1,53134475,53024492
1179431,2,53134475,53080628
1179438,1,2804606843,53030266
1179438,2,2804606843,53099294
1179615,1,248744988,260193612
1179615,2,248744988,5042859957
1179644,1,53035707,603229515
1179689,1,53025533,65324849
1179689,2,53025533,53047924
1179881,2,53024858,53080628
1180096,1,53087443,53073129
1180182,1,53020933,1154594254
1180578,1,53080628,53029730
1180584,1,53116966,53080628
1182718,2,612070498,257391140
1182718,3,612070498,1723739241
1182718,4,612070498,53063053
1300642,1,65317060,65303696
1300922,1,65327169,65295355
1300935,1,65303696,65335256
1300991,1,65312657,258288198
1301070,1,65290336,259138847
1301070,2,65290336,52982204
1301096,1,65312014,65424657
1301180,1,4265147890,65327169
1301180,2,4265147890,65317060
1301189,1,4021550367,260193612
1301194,1,65324849,65286435
1301194,2,65324849,260193612
1301454,1,65317406,65473412
1302149,1,1511349597,65321354
1302642,1,258972759,65358626
1306637,1,65402828,661994355
1306637,2,65402828,65441639
1307452,1,65439179,65405507
1307452,2,65439179,65467189
1307452,3,65439179,65467189
1307452,4,65439179,1480825902
1307983,1,65501665,54891483
1308172,2,297167845,65556603
1308172,3,297167845,65335256
1308552,1,437194911,343269965
1310704,1,65559370,65559370
1310943,2,290879408,286891349
1311217,1,289662376,344579091
1311217,2,289662376,704784837
1311296,2,689471609,65556603
1311356,1,65495760,65446354
1311406,1,283240773,1774346210
1311441,1,1102852014,876501306
1311441,2,1102852014,1683572090
1312753,2,283273746,53030266
1313043,2,65443930,1624755431
1313096,1,261418998,312412132
1313096,2,261418998,65585554
1313108,1,1071874143,1272258299
1313118,1,65424368,287825433
1313118,2,65424368,65494863
1313118,3,65424368,2858933386
1313385,1,2488888492,258390819
1313385,2,2488888492,65515011
1313593,1,65520782,310963309
1313678,1,65465621,666133161
1313678,2,65465621,65557518
1313933,2,2861154405,65504530
1313990,2,65537498,282817724
1313997,1,65436116,65380804
1314069,1,65537498,65480019
1336408,1,53032784,1683572090
1336484,2,242908939,434335815
1337345,3,65433244,65572998
1337354,2,53062051,53029721
1337701,1,65283764,262078981
1338074,1,65328414,65335256
1338074,2,65328414,1723739241
1338123,1,65585859,65577997
1338286,1,65286986,65321354
1339110,1,5659997072,667228644
1339110,2,5659997072,65549971
1339110,3,5659997072,5659997072
1339110,4,5659997072,5659997072
1339402,2,53063164,53118806
1339402,3,53063164,53118806
1340060,1,4177238502,258392730
1340373,1,4176758065,65480019
1340572,1,53118744,911844740
1340759,2,65462313,65461550
1341034,1,65515846,3766059022
1341349,2,2971066293,611548392
1341769,1,373629860,1350366884
1342126,1,314481557,671081002
1342126,2,314481557,65495331
1342185,1,53035055,725437367
1342185,2,53035055,678295796
1342997,1,560859521,251911885
1342997,2,560859521,65480019
1342997,3,560859521,65444824
1343322,2,65535942,65495782
1344646,1,65328414,65283764
1345255,1,65423874,65459869
1345255,2,65423874,65485297
1345255,3,65423874,65540445
1345476,1,65570551,65420040
1345559,1,257433450,260193612
1345717,1,258911637,65305894
1346089,1,5367061317,2424933569
1346089,2,5367061317,65422731
1346828,1,65675905,65577997
1346828,3,65675905,65577997
1347176,2,53035398,65420040
1347308,1,3466032313,65466068
1347439,1,53099283,275780457
1347534,1,1741155872,1563110139
1347582,1,53145433,53069245
1347582,2,53145433,65513622
1348446,2,668437479,53024292
1348467,1,65362975,65556603
1349641,1,65495760,65461306
1349641,2,65495760,65362975
1350362,1,4177203557,344752198
1350434,1,65429611,65388057
1350577,2,65328181,65356861
1350715,2,65388813,65467189
1351613,1,65410100,65454218
1351654,2,65441278,262256885
1351846,2,231099810,53062051
1351847,1,65423874,65557518
1351847,2,65423874,429405365
1353974,1,4883304564,65466666
1353974,2,4883304564,65466666
1355739,1,1071836866,65335256
1356459,1,258972759,65286435
1356775,1,65303696,4017324918
1357139,1,53069245,4176723825
1358363,1,65633275,65495331
1358652,1,65597274,1272258299
1358652,2,65597274,65393966
1358866,1,65303696,65342038
1359110,1,65423874,1831310090
1359110,2,65423874,282390537
1359347,1,53043010,53039965
1360436,2,3639361928,53086984
1360490,1,53118961,1082323875
1360490,2,53118961,2230688743
1360510,1,65436738,65422888
1360905,2,5847849623,262911314
1360918,2,286890942,65573344
1360918,3,286890942,65493935
1361771,1,65462817,65523117
1362225,2,95323791,1230248551
1362557,1,65317060,260193612
1362557,2,65317060,239464365
1362586,1,5010014322,263015703
1363695,1,65469165,65464543
1363695,2,65469165,65611188
1363788,1,65415464,452034770
1363788,2,65415464,65295355
1363867,1,65550343,3277280273
1363867,2,65550343,65440781
