uniqueid,u,v,length,lanes,speed_mph
0,309330024,253297204,320.8,5,65
1,247385811,247385812,395.9,3,30
2,247385811,65553953,363.6,2,35
3,247385811,65580841,409.6,2,35
4,247385811,4148256398,748.8,1,35
5,247385812,247385931,114.6,3,30
6,247385812,247385699,81.9,1,20
7,247385814,247385699,104.2,1,20
8,312410568,312410311,25.3,1,30
9,312410568,312410284,632.8,3,50
10,4353687911,4353687912,9.9,1,25
11,4353687911,4353689485,408.6,2,30
12,4353687912,4353687911,9.9,1,25
13,4353687912,65314953,304.1,2,30
14,386924997,4906347242,34.4,2,30
15,386924997,386925477,88.7,2,30
16,386924997,1700584688,437.9,1,50
17,354419176,354413173,2532.1,3,65
18,345965057,345973075,2112.0,2,65
19,1760559652,665690523,376.9,3,65
20,258998915,65670297,621.3,1,50
21,258998915,258999024,681.6,3,65
22,1760559768,1760559652,452.4,1,50
23,1760559768,65399706,153.4,3,30
24,258999024,65399706,506.9,2,50
25,258999024,1760559652,565.7,3,65
26,258999067,1080024953,44.3,1,30
27,258999067,313093778,12.9,1,30
28,258999067,1760559768,26.6,3,30
29,3196060452,3196064552,57.5,2,35
30,3196060452,2393342139,46.3,1,25
31,386925477,65402815,121.7,2,30
32,386925477,386924997,88.7,2,30
33,386925477,1700584707,476.0,1,50
34,312410718,65540445,17.0,1,20
35,312410718,65444931,1781.0,1,20
36,312410718,312411466,502.6,3,45
37,275776613,370473665,47.5,1,30
38,275776613,275782462,42.4,2,25
39,275776613,53117382,131.1,2,25
40,4447012098,4382597056,17.4,3,35
41,4447012098,3110365113,411.9,3,35
42,65441819,3969073946,253.1,1,20
43,275776856,370473679,49.2,1,30
44,275776856,2820169753,169.4,2,25
45,275776856,53090185,60.0,2,25
46,4180674087,65424257,38.2,2,40
47,4180674087,65424250,527.2,2,40
48,4887414373,4887414381,72.1,1,45
49,4887414373,282813291,39.8,4,35
50,4887414370,282813359,394.8,3,35
51,4887414381,665538270,608.0,4,45
52,4353689485,3921509240,9.7,1,25
53,4353689485,4353692273,188.7,2,30
54,275777736,56063320,13.1,3,25
55,275777736,95323746,137.8,3,30
56,275777737,275777736,11.5,3,30
57,275777737,240469594,431.2,3,25
58,905972023,905968140,41.5,3,20
59,905972023,65497888,893.8,1,20
60,309332588,26029630,16.9,3,40
61,309332588,287231485,89.0,3,25
62,4180675195,65452480,186.1,1,25
63,4180675195,4180674087,71.4,1,30
64,4180675195,65424257,50.7,1,25
65,2701134475,2701101990,366.7,1,20
66,2701134475,2701101990,157.2,1,20
67,2701134475,65506180,146.3,1,20
68,1715473103,349915294,276.4,2,65
69,1715473103,55956307,405.4,1,50
70,1715473108,56017549,327.2,1,50
71,1715473108,29892713,368.8,2,65
72,1715473141,55963743,277.7,2,65
73,1715473141,55963492,401.7,1,50
74,259001133,259001278,19.6,1,50
75,259001133,248212008,821.0,2,50
76,65442157,4553587465,20.2,3,40
77,65442157,65442155,107.1,3,25
78,259001278,1101343695,12.0,3,30
79,259001354,311730001,495.4,2,50
80,259001354,309052216,907.7,3,65
81,655363147,65528532,97.5,1,20
82,655363148,252005218,535.7,1,20
83,655363148,1119583442,612.4,1,20
84,655363148,65624502,261.0,1,20
85,259001466,248212014,1027.5,1,50
86,259001466,259001354,183.6,3,65
87,259001484,257806071,654.6,4,65
88,1806699733,3958232134,17.0,3,65
89,1806699733,3958233971,1099.5,3,25
90,1806699751,53113786,13.9,1,20
91,1806699751,1806699733,1047.4,3,40
92,1806699751,53062505,397.1,1,20
93,1806699759,1576445790,15.6,1,30
94,1806699759,53047205,523.0,1,35
95,1806699759,1806699751,562.8,3,40
96,1806699765,53036271,16.7,1,20
97,1806699765,1806699759,597.6,3,40
98,1806699766,53043008,264.8,3,30
99,1806699766,846478195,56.0,3,30
100,461376765,293845792,397.2,2,50
101,281149293,3614216343,359.5,3,25
102,281149293,4182147571,592.5,1,25
103,281149293,65551811,106.6,1,25
104,2482611833,65484382,9.9,2,25
105,2482611833,2482611834,11.3,2,30
106,575671703,401388754,10.6,3,30
107,575671703,575671713,782.3,2,25
108,575671713,53028454,11.7,1,20
109,575671713,575671795,1081.8,3,25
110,575671713,53034906,1241.3,1,20
111,2482611836,2482611833,7.7,2,25
112,1878840473,65604701,49.4,1,25
113,1878840473,1878840472,52.0,1,30
114,1878840473,65536861,106.6,1,25
115,575671727,53033706,13.2,1,25
116,575671727,52980226,166.4,2,25
117,575671727,4588826512,174.1,3,25
118,2482611838,2482611836,11.5,2,30
119,2482611838,448803345,118.2,2,25
120,575671769,53028424,17.3,1,20
121,575671769,5285295106,65.0,1,20
122,575671769,718372425,264.3,3,25
123,575671795,53028438,11.6,1,20
124,575671795,2459972364,64.3,1,20
125,575671795,575671796,58.5,3,25
126,575671796,354102005,636.0,3,25
127,4162850297,1708658985,323.0,1,20
128,4162850297,65464229,129.8,2,20
129,575671816,354102005,11.1,1,20
130,575671816,53028428,38.6,3,25
131,275779238,53090184,57.8,3,25
132,275779238,2820169753,435.4,1,25
133,1202720464,65439799,586.4,1,20
134,1202720464,689945760,170.7,2,20
135,905973480,905968140,17.4,1,20
136,905973480,905941165,262.6,3,25
137,65439179,65439255,1807.4,1,20
138,65439179,65469570,1050.6,1,30
139,65439179,65448418,635.8,1,30
140,90868685,90868788,170.9,3,25
141,90868685,90868679,634.1,1,25
142,90868689,90868788,9.2,1,25
143,90868689,90814391,65.6,3,25
144,90868689,90801210,29.0,1,25
145,256905264,449081366,52.4,4,35
146,275779890,275779238,39.0,3,25
147,275779890,53090184,22.7,3,25
148,1374687567,65460270,21.7,2,20
149,1374687567,2497999641,32.3,1,45
150,1374687571,65460269,35.9,2,20
151,4704965058,1103393558,41.8,2,35
152,4704965058,2640973131,63.3,1,25
153,4353692273,4353692274,10.1,1,25
154,4353692273,436978770,174.3,2,30
