dep_time,origin,destination
34113.6,6556,194393
24930.7,58513,36579
36559.1,177392,194161
40482.9,22790,154794
28632.4,7811,24561
23509.7,132475,157815
18668.7,52124,187700
34377.1,142853,109974
23555.1,154472,72926
38397.6,1703,198916
38306.6,183013,110785
26574.3,40758,56443
42121.8,88236,26793
20337.2,25353,94104
39356.9,158263,69342
38339.6,191294,120435
31512.9,99230,20656
31911.4,217423,164794
33586.7,94800,151349
22845.7,18233,12012
34663.8,202655,75861
42827.6,61024,26476
27579.2,118858,166640
39019.6,42638,97040
26952.8,175682,69986
35685.9,179187,169878
19799.3,166455,44862
31460.3,64175,42834
29649.0,70765,167772
35341.7,57570,179467
26171.9,201408,203423
19409.6,215430,8414
38287.2,105162,70186
19668.0,148682,188196
25929.9,171819,130870
27969.9,168519,120285
21600.4,36603,64651
36773.7,141289,68876
36824.7,112311,152969
28064.9,57493,36262
30840.1,23831,198123
19187.3,28743,40066
33811.6,207638,178384
28638.4,16653,100864
27616.8,122696,138704
24335.6,145024,3009
35143.1,30029,178706
40296.7,196838,69946
37368.7,89174,29242
25396.2,41460,118940
18081.8,189292,188659
24637.4,131225,199743
22502.0,27894,163918
25520.8,167496,133080
33346.0,40065,98019
37215.3,141394,204112
41245.3,149,157009
26168.7,5105,29325
41413.3,218016,211491
25749.4,15184,63143
40125.8,20645,22453
36444.1,213915,18143
42645.2,139645,200758
21169.2,172949,124592
41860.6,43287,69483
31297.4,159014,110923
42301.9,141373,197988
36394.3,52730,186895
25855.3,176078,170361
27410.2,135679,118354
21049.3,58903,16784
26519.8,154221,145207
23798.9,57728,1885
19789.0,165439,15433
23769.3,8234,86619
19785.6,62391,73001
34858.2,56160,141356
21334.3,149695,151050
29911.3,205683,123987
38348.9,49914,24726
20442.7,112997,92876
28674.2,122427,191122
19365.1,171299,169392
20480.1,105544,190896
26550.4,28644,65183
22828.1,140584,117601
21532.6,48100,73018
29658.2,19761,116164
38362.2,144264,25666
19274.8,141711,219159
18371.9,24448,197542
39387.1,43597,106539
30238.2,56032,105130
40741.6,43158,99345
18054.3,102346,69521
41348.3,205816,119277
25188.3,182607,191497
43084.7,145691,173505
36103.9,40579,49780
25477.0,15331,151828
36540.6,15979,196077
25902.8,13144,153138
30015.1,139231,41270
19433.4,133124,21000
39453.8,17962,155984
19712.6,61657,105847
21021.1,149336,64543
32588.8,10418,162367
20066.0,172326,153006
32243.7,82934,68358
23147.3,187745,82361
24014.9,103752,34308
34926.6,78642,119858
25967.7,197096,19016
18234.7,162833,147585
43101.6,19204,140937
23371.5,69520,34722
41518.1,18033,64037
27312.1,41352,114867
39010.4,184428,79303
33414.3,211576,171435
31329.3,175076,214198
31976.0,173903,27154
41661.0,35203,69328
20908.8,28058,194620
31941.2,71394,73860
33241.7,188117,89884
23130.7,166261,69201
30736.3,65829,221801
19280.1,166273,111037
38899.6,11557,929
26405.6,34293,167015
42690.9,42357,194309
29134.3,184986,112115
32134.9,29327,19724
41815.3,181146,39073
31748.9,218784,96787
32679.2,38821,112666
21211.6,80808,95591
40654.3,208698,10458
40652.9,55070,178799
24288.1,26946,92714
37658.9,106529,162702
