physical-memory-in-KB,virtual-memory-in-KB,message
0,9688,195380,Start
1,171156,377032,Start
2,231900,437720,Start
3,267844,473828,Start
4,312572,518460,Start
5,370552,641976,Start
6,399956,671280,Start
7,429660,700980,Start
8,458156,751692,Start
9,521080,780064,Start
10,545368,808736,Start
11,572292,841508,Start
12,579420,841508,Start
13,611076,923432,Start
14,623744,923432,Start
15,635888,923432,Start
16,647960,923432,Start
17,660104,923432,Start
18,670560,1038120,Start
19,683232,1038120,Start
20,695636,1038120,Start
21,708308,1038120,Start
22,720716,1038120,Start
23,733140,1038120,Start
24,739140,1038120,Start
25,739140,1038120,Start
26,739140,1038120,Start
27,739140,1038120,Start
28,739140,1038120,Start
29,739140,1038120,Start
30,739140,1038120,Start
31,739140,1038120,Start
32,755324,1070892,Start
33,757172,1070892,Start
34,759284,1070892,Start
35,761132,1070892,Start
36,762980,1070892,Start
37,764848,1070892,Start
38,2366600,15289760,Start
39,5623040,15289760,Start
40,8851228,15289760,Start
41,12086620,15289760,Start
42,14984624,15289760,Start
43,15043800,15348936,Start
44,15061424,15366756,Start
45,16349588,16654524,Start
46,16349588,16654524,Start
47,16349588,16654524,Start
48,16349588,16654524,Start
49,16519764,40893064,Start
50,16519764,40893064,Start
51,17113328,43091872,Start
52,17113328,43091872,Start
53,17263432,43321288,Start
54,17466668,48150776,Start
55,17479340,48164328,Start
56,17480132,48164328,Start
57,17495708,48181156,Start
58,17495972,48181156,Start
59,17495972,48181156,Start
60,17495972,48181156,Start
61,17496236,48181156,Start
62,17496236,48181156,Start
63,17496236,48181156,Start
64,17496236,48181156,Start
65,17496236,48181156,Start
66,17496236,48181156,Start
67,17496236,48181156,Start
68,17496236,48181156,Start
69,18013344,48585952,Start
70,18227976,48585952,Start
71,18441012,48585952,Start
72,18650364,48585952,Start
73,18855228,48585952,Start
74,19066692,48585952,Start
75,19197116,48585952,Start
76,19129820,48479864,Start
77,19129820,48479864,Start
78,19129820,48479864,Start
79,19129820,48479864,Start
80,19129820,48479864,Start
81,19129824,48479864,Start
82,19129824,48479864,Start
83,19129824,48479864,Start
84,19129824,48479864,Start
85,19129824,48479864,Start
86,19129824,48479864,Start
87,19129824,48479864,Start
88,19129824,48479864,Start
89,19129824,48479864,Start
90,19129824,48479864,Start
91,19129824,48479864,Start
92,19129824,48479864,Start
93,19129824,48479864,Start
94,19129824,48479864,Start
95,19129824,48479864,Start
96,19129824,48479864,Start
97,19129824,48479864,Start
98,19133404,48479864,Start
99,19141716,48479864,Start
100,19141716,48479864,Start
101,19151188,48489368,Start
102,19172884,48511016,Start
103,19195740,48533852,Start
