Set Number,Numbers
1,"2, 6, 9, 11, 12, 14, 18, 19"
2,"1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20"
3,"18, 13, 5"
4,"3, 5, 6, 7, 8, 9, 11, 12, 15, 16, 19, 20"
5,"1, 2, 5, 8, 9, 10, 11, 13, 15, 17, 19, 20"
6,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
7,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20"
8,"7, 9, 11, 12, 14, 15, 16"
9,"1, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18"
10,"16, 14"
11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
12,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
13,"1, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19"
14,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
15,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20"
16,"7, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20"
17,"2, 4, 5, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
18,"3, 4, 10, 11, 18, 19"
19,"2, 3, 7, 8, 12, 14, 16, 17, 20"
20,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20"
21,"2, 3, 5, 18, 19, 20"
22,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
23,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19"
24,"1, 2, 3, 4, 6, 8, 9, 12, 13, 15, 17, 18, 19, 20"
25,"2, 6, 10, 13, 14, 15, 16, 17, 19, 20"
26,"3, 4, 5, 10, 12, 14, 18, 19, 20"
27,"3, 7, 8, 14, 19, 20"
28,"4, 8, 11, 13, 18, 20"
29,"2, 7, 10, 12, 13, 15, 17, 19, 20"
30,"16, 1, 20, 7"
31,"2, 3, 7, 11, 13, 14, 16, 17, 18, 20"
32,"10, 3, 20"
33,"17, 11"
34,"1, 3, 4, 5, 7, 8, 9, 10, 13, 15, 17, 19, 20"
35,"17, 13"
36,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
37,"1, 2, 4, 5, 6, 8, 10, 11, 12, 14, 15, 17, 18, 19, 20"
38,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
39,"1, 7, 8, 9, 10, 17, 19"
40,"3, 4, 5, 7, 8, 10, 11, 13, 15, 18"
41,"1, 2, 4, 7, 10, 11, 12, 15, 20"
42,"1, 2, 3, 4, 5, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20"
43,"1, 2, 4, 5, 7, 8, 9, 14, 15, 16, 17, 18, 19"
44,"2, 3, 5, 13, 14, 16, 17, 18, 20"
45,"4, 7, 8, 10, 11, 17, 20"
46,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20"
47,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
48,"10, 18, 19"
49,"1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20"
50,"2, 3, 5, 6, 7, 8, 9, 10, 13, 15, 17, 18, 19, 20"
51,"6, 9, 10, 14, 20"
52,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20"
53,"2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 15, 17, 18, 19"
54,"3, 5, 6, 7, 9, 10, 12, 13, 17, 18"
55,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20"
56,"3, 6, 7, 10, 11, 19"
57,"2, 3, 4, 5, 6, 8, 9, 10, 12, 16, 19, 20"
58,"2, 3, 5, 7, 8, 9, 11, 12, 17, 18"
59,"1, 3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 17, 18, 19"
60,"1, 2, 4, 5, 7, 8, 12, 13, 14, 16, 18, 19"
61,"3, 4, 9, 10, 11, 12, 13, 14, 16, 18, 20"
62,"19, 17, 3, 14"
63,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 20"
64,"1, 2, 4, 5, 9, 11, 12, 16, 19, 20"
65,"1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20"
66,"2, 3, 6, 8, 9, 14, 16, 19, 20"
67,"1, 3, 4, 5, 6, 7, 9, 11, 14, 15, 16, 18"
68,"1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20"
69,8
70,"1, 19, 20"
71,"1, 3, 4, 6, 7, 8, 9, 10, 14, 16"
72,"1, 5, 6, 9, 12, 13, 17"
73,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
74,"3, 9, 10, 15, 16, 20"
75,"3, 9, 10, 11, 17"
76,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
77,"1, 2, 3, 4, 5, 6, 9, 11, 14, 16, 17, 18, 19, 20"
78,"8, 2, 12"
79,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20"
80,"1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
81,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20"
82,"3, 5, 6, 7, 9, 12, 14, 17, 19"
83,"1, 3, 4, 8, 9, 10, 12, 13, 15, 17, 18, 19, 20"
84,"3, 4, 6, 7, 15, 17, 18"
85,"6, 7, 9, 10, 11, 14, 15, 17, 18, 19, 20"
86,"1, 4, 9, 11, 17"
87,"16, 13, 5"
88,"1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 15, 16, 19"
89,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20"
90,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
91,"1, 13, 17"
92,"2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19"
93,"3, 4, 5, 7, 11, 12, 13, 16, 18, 19, 20"
94,"8, 1, 13, 14"
95,"1, 3, 4, 5, 6, 7, 10, 11, 12, 14, 17"
96,"1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19"
97,"2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 20"
98,"1, 2, 4, 5, 6, 7, 11, 12, 14, 15, 17, 18, 19, 20"
99,"1, 2, 3, 5, 6, 8, 9, 14, 15, 17, 19, 20"
100,"2, 3, 8, 13, 20"
101,"2, 5, 7, 12, 13, 15, 16, 19"
102,"1, 3, 4, 5, 6, 9, 10, 12, 13, 17, 18, 20"
103,"17, 12, 5"
104,"1, 2, 4, 5, 7, 8, 10, 11, 12, 14, 15, 17, 18, 20"
105,"2, 3, 7, 8, 11, 13, 18, 19, 20"
106,"2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20"
107,"1, 6, 11, 14, 16, 19"
