airport_id,airport_code,lon_dms,lat_dms,lon_decimal,lat_decimal,nearest_node_index,nearest_node_osmid,nearest_node_lon,nearest_node_lat,nearest_node_distance_m,runway_count,operation_interval_s,capacity_ops_per_hour,max_aircraft_type,data_warnings
0,WVI,121-47-22.7000W,036-56-08.6400N,-121.78963889,36.93573333,146572,91065961,-121.79127340,36.94070530,571.63,2,90,40,ALL,
1,E16,121-35-48.5000W,037-04-53.7000N,-121.59680556,37.08158333,101404,65424095,-121.59416320,37.08419760,373.42,1,90,40,Cessna 172/208,
2,0Q3,122-26-58.9600W,038-13-26.1900N,-122.44971111,38.22394167,46781,56170514,-122.45561950,38.22677300,604.56,2,90,40,Cessna 172/208,
3,0Q9,122-26-04.4000W,038-15-26.9000N,-122.43455556,38.25747222,44209,56119697,-122.44081660,38.25768860,547.21,1,90,40,Cessna 172,
4,O88,121-42-13.0800W,038-11-36.1800N,-121.70363333,38.19338333,182128,699515416,-121.70670520,38.18901990,554.51,2,90,40,Short SC.7 Skyvan,
5,O69,122-36-19.1600W,038-15-28.0600N,-122.60532222,38.25779444,28375,55949835,-122.60603590,38.25538730,274.82,1,90,40,Cessna 172/208,
6,VCB,121-57-40.3200W,038-22-41.6400N,-121.96120000,38.37823333,80853,62417747,-121.95933900,38.37473300,421.67,1,90,40,Short SC.7 Skyvan,
7,CVH,121-24-36.9800W,036-53-36.0500N,-121.41027222,36.89334722,140797,90681626,-121.40445600,36.91080100,2008.50,2,90,40,ATR42/ERJ135,
8,HES,122-53-55.1100W,038-39-10.2900N,-122.89864167,38.65285833,218881,4926606529,-122.89004890,38.64791170,927.01,1,90,40,Cessna 172/208,
9,HAF,122-30-04.2000W,037-30-48.4000N,-122.50116667,37.51344444,96957,65398332,-122.50004330,37.51013110,381.52,1,90,40,ALL,
10,DVO,122-33-25.5300W,038-08-36.8700N,-122.55709167,38.14357500,155687,110423195,-122.55859370,38.14094830,320.25,1,90,40,EMB120,
11,O60,122-59-33.4000W,038-46-34.6000N,-122.99261111,38.77627778,38767,56058698,-122.99259620,38.77395380,258.42,1,90,40,Cessna 172/208,
12,C83,121-37-33.0000W,037-49-42.4000N,-121.62583333,37.82844444,161480,261165571,-121.62763490,37.82932360,185.99,2,90,40,Short SC.7 Skyvan,
13,2O3,122-26-07.7000W,038-34-48.1000N,-122.43547222,38.58002778,32075,55972210,-122.43934620,38.57996090,336.83,1,90,40,Cessna 172,
14,SQL,122-14-58.3100W,037-30-42.7000N,-122.24953056,37.51186111,161034,259169359,-122.25201430,37.51042760,270.93,1,90,40,Cessna 172/208,
15,RHV,121-49-11.3000W,037-19-58.3000N,-121.81980556,37.33286111,125466,65534349,-121.82105500,37.33123120,212.25,2,90,40,Short SC.7 Skyvan,
16,PAO,122-06-54.1700W,037-27-40.0400N,-122.11504722,37.46112222,95070,65382821,-122.11400410,37.45323590,881.74,1,90,40,Cessna 172/208,
17,APC,122-16-50.4700W,038-12-47.4800N,-122.28068611,38.21318889,198542,2356075833,-122.27225320,38.21694560,846.93,3,90,40,ALL,
18,LVK,121-49-13.3000W,037-41-36.2000N,-121.82036111,37.69338889,9651,53049672,-121.82004550,37.69736510,443.01,2,90,40,ALL,
19,HWD,122-07-18.2600W,037-39-32.1500N,-122.12173889,37.65893056,735,52982938,-122.12621370,37.65866540,395.02,2,90,40,Dash 8-Q400,
20,CCR,122-03-24.8500W,037-59-22.7600N,-122.05690278,37.98965556,191586,1701804939,-122.06161550,37.98784160,459.63,4,90,40,ALL,
