dep_time,origin,destination
18000.1,6556,194393
18000.1,58513,36579
18000.1,177392,194161
18000.2,22790,154794
18000.3,7811,24561
18000.3,132475,157815
18000.3,52124,187700
18000.3,142853,109974
18000.4,154472,72926
18000.4,1703,198916
18000.5,183013,110785
18000.5,40758,56443
18000.7,88236,26793
18000.7,25353,94104
18000.8,158263,69342
18000.9,191294,120435
18000.9,99230,20656
18001.0,217423,164794
18001.0,94800,151349
18001.0,18233,12012
18001.1,202655,75861
18001.3,61024,26476
18001.3,118858,166640
18001.4,42638,97040
18001.4,175682,69986
18001.5,179187,169878
18001.5,166455,44862
18001.5,64175,42834
18001.6,70765,167772
18001.6,57570,179467
18001.6,201408,203423
18001.6,215430,8414
18001.7,105162,70186
18001.7,148682,188196
18001.7,171819,130870
18001.8,168519,120285
18001.8,36603,64651
18001.8,141289,68876
18001.9,112311,152969
18001.9,57493,36262
18002.0,23831,198123
18002.0,28743,40066
18002.0,207638,178384
18002.1,16653,100864
18002.1,122696,138704
18002.1,145024,3009
18002.2,30029,178706
18002.3,196838,69946
18002.3,89174,29242
18002.4,41460,118940
18002.4,189292,188659
18002.4,131225,199743
18002.4,27894,163918
18002.4,167496,133080
18002.4,40065,98019
18002.5,141394,204112
18002.6,149,157009
18002.7,5105,29325
18002.8,218016,211491
18002.8,15184,63143
18002.9,20645,22453
18003.0,213915,18143
18003.2,139645,200758
18003.2,172949,124592
18003.3,43287,69483
18003.4,159014,110923
18003.5,141373,197988
18003.6,52730,186895
18003.6,176078,170361
18003.7,135679,118354
18003.7,58903,16784
18003.7,154221,145207
18003.7,57728,1885
18003.7,165439,15433
18003.7,8234,86619
18003.7,62391,73001
18003.8,56160,141356
18003.8,149695,151050
18003.8,205683,123987
18003.9,49914,24726
18003.9,112997,92876
18003.9,122427,191122
18003.9,171299,169392
18003.9,105544,190896
18004.0,28644,65183
18004.0,140584,117601
18004.0,48100,73018
18004.0,19761,116164
18004.1,144264,25666
18004.1,141711,219159
18004.1,24448,197542
18004.2,43597,106539
18004.2,56032,105130
18004.3,43158,99345
18004.3,102346,69521
18004.5,205816,119277
18004.5,182607,191497
18004.8,145691,173505
18004.8,40579,49780
18004.8,15331,151828
18004.9,15979,196077
18004.9,13144,153138
18005.0,139231,41270
18005.0,133124,21000
18005.1,17962,155984
18005.1,61657,105847
18005.1,149336,64543
18005.1,10418,162367
18005.1,172326,153006
18005.2,82934,68358
18005.2,187745,82361
18005.2,103752,34308
18005.2,78642,119858
18005.3,197096,19016
18005.3,162833,147585
18005.5,19204,140937
